trial,elements,image_1,image_1.src,cond,emo,encoder_gender,
1,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AM35SUS.JPG,unmasked,SUS,M,
2,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF01SUS.JPG,unmasked,SUS,F,
3,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF05NES.JPG,unmasked,NES,F,
4,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF05SAS.JPG,unmasked,SAS,F,
5,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF06HAS.JPG,unmasked,HAS,F,
6,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF06NES.JPG,unmasked,NES,F,
7,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF09DIS.JPG,unmasked,DIS,F,
8,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF09SAS.JPG,unmasked,SAS,F,
9,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF11HAS.JPG,unmasked,HAS,F,
10,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF12DIS.JPG,unmasked,DIS,F,
11,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF13DIS.JPG,unmasked,DIS,F,
12,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF13NES.JPG,unmasked,NES,F,
13,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF13SAS.JPG,unmasked,SAS,F,
14,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF14AFS.JPG,unmasked,AFS,F,
15,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF14ANS.JPG,unmasked,ANS,F,
16,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF16AFS.JPG,unmasked,AFS,F,
17,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF17DIS.JPG,unmasked,DIS,F,
18,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF19NES.JPG,unmasked,NES,F,
19,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF20ANS.JPG,unmasked,ANS,F,
20,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF20HAS.JPG,unmasked,HAS,F,
21,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF20SAS.JPG,unmasked,SAS,F,
22,image_1,"{
  ""type"": ""image"",
  ""height"": 600,
  ""width"": 441,
  ""onset"": 0,
  ""duration"": 2000,
  ""x"" : 0,
  ""y"" : 0,
  ""end_trial"": ""yes""
    }",../User/KDEF_top5/all/AF21DIS.JPG,unmasked,DIS,F,
